-1,critcalzone.org variable,czo_id,Discipline,CZOs,ODM2Name,ODM2Term,CZO Variable Action,New ODM2 Term,comments,units,Aggregation,,czo_url, czo_id
0,clay,4683,Soil Science / Pedology,Calhoun,Clay,Clay,ODM2,,,,,,http://criticalzone.org/national/data/dataset/4683,4683
1,clay,5564,Soil Science / Pedology,Calhoun,Clay,Clay,ODM2,,,,,,http://criticalzone.org/national/data/dataset/5564,5564
2,diff charge bal,2783,Water Chemistry,Boulder,,,Remove,,,,,,http://criticalzone.org/national/data/dataset/2783,2783
3,diff charge bal,2784,Water Chemistry,Boulder,,,Remove,,,,,,http://criticalzone.org/national/data/dataset/2784,2784
4,diff charge bal,2785,Water Chemistry,Boulder,,,Remove,,,,,,http://criticalzone.org/national/data/dataset/2785,2785
5,diff charge bal,2788,Water Chemistry,Boulder,,,Remove,,,,,,http://criticalzone.org/national/data/dataset/2788,2788
6,diff charge bal,3064,Water Chemistry,Boulder,,,Remove,,,,,,http://criticalzone.org/national/data/dataset/3064,3064
7,diff charge bal,3065,Water Chemistry,Boulder,,,Remove,,,,,,http://criticalzone.org/national/data/dataset/3065,3065
8,diff charge bal,3639,Water Chemistry,Boulder,,,Remove,,,,,,http://criticalzone.org/national/data/dataset/3639,3639
9,diff charge bal,4165,Water Chemistry,Boulder,,,Remove,,,,,,http://criticalzone.org/national/data/dataset/4165,4165
10,o2 at depth1,5272,Geochemistry / Mineralogy|Soil Science / Pedology,Shale Hills,Oxygen,oxygen,ODM2,,,,,,http://criticalzone.org/national/data/dataset/5272,5272
11,o2 at depth2,5272,Geochemistry / Mineralogy|Soil Science / Pedology,Shale Hills,Oxygen,oxygen,ODM2,,,,,,http://criticalzone.org/national/data/dataset/5272,5272
12,sand,4683,Soil Science / Pedology,Calhoun,Sand,Sand,ODM2,,,,,,http://criticalzone.org/national/data/dataset/4683,4683
13,sand,5564,Soil Science / Pedology,Calhoun,Sand,Sand,ODM2,,,,,,http://criticalzone.org/national/data/dataset/5564,5564
14,silt,4683,Soil Science / Pedology,Calhoun,Silt,Silt,ODM2,,,,,,http://criticalzone.org/national/data/dataset/4683,4683
15,silt,5564,Soil Science / Pedology,Calhoun,Silt,Silt,ODM2,,,,,,http://criticalzone.org/national/data/dataset/5564,5564
16,05mco2,4658,Biogeochemistry|Soil Science / Pedology|Hydrology,Calhoun,Carbon dioxide,carbonDioxide,ODM2,,,,,,http://criticalzone.org/national/data/dataset/4658,4658
17,05mdegc,4658,Biogeochemistry|Soil Science / Pedology|Hydrology,Calhoun,Temperature,temperature,ODM2,,,,,,http://criticalzone.org/national/data/dataset/4658,4658
18,05mh2o,4658,Biogeochemistry|Soil Science / Pedology|Hydrology,Calhoun,Water Content,waterContent,ODM2,,,,,,http://criticalzone.org/national/data/dataset/4658,4658
19,05mo2,4658,Biogeochemistry|Soil Science / Pedology|Hydrology,Calhoun,Oxygen,oxygen,ODM2,,,,,,http://criticalzone.org/national/data/dataset/4658,4658
20,1,4155,Geomorphology|Biology / Ecology,Shale Hills,,,Remove,,,,,,http://criticalzone.org/national/data/dataset/4155,4155
21,1,4155,Geomorphology|Biology / Ecology,Shale Hills,,,Remove,,,,,,http://criticalzone.org/national/data/dataset/4155,4155
22,1 point cloud in las format version 12,4671,GIS / Remote Sensing,Calhoun,,,New ODM2 Term,Lidar,,,,,http://criticalzone.org/national/data/dataset/4671,4671
23,1 point cloud in las format version 12,5446,GIS / Remote Sensing,Calhoun,,,New ODM2 Term,Lidar,,,,,http://criticalzone.org/national/data/dataset/5446,5446
24,10be 108 atmg,4018,Soil Science / Pedology|Geochemistry / Mineralogy,Calhoun,,,New ODM2 Term,Beryllium-10,,,,,http://criticalzone.org/national/data/dataset/4018,4018
25,10bemeteoric,4673,Biogeochemistry|Geochemistry / Mineralogy|Soil Science / Pedology,Calhoun,,,New ODM2 Term,Beryllium-10,,,,,http://criticalzone.org/national/data/dataset/4673,4673
26,13ceoc,5933,Biogeochemistry|Biology / Ecology|Soil Science / Pedology,Calhoun,"Carbon-13, stable isotope ratio delta",carbon_13StableIsotopeRatioDelta,ODM2,,,,,,http://criticalzone.org/national/data/dataset/5933,5933
27,13csoc,5933,Biogeochemistry|Biology / Ecology|Soil Science / Pedology,Calhoun,"Carbon-13, stable isotope ratio delta",carbon_13StableIsotopeRatioDelta,ODM2,,,,,,http://criticalzone.org/national/data/dataset/5933,5933
28,13csoilrespiredco2,4637,Biogeochemistry|Biology / Ecology|Soil Science / Pedology,Calhoun,"Carbon-13, stable isotope ratio delta",carbon_13StableIsotopeRatioDelta,ODM2,,,,,,http://criticalzone.org/national/data/dataset/4637,4637
29,15mco2,4658,Biogeochemistry|Soil Science / Pedology|Hydrology,Calhoun,Carbon dioxide,carbonDioxide,ODM2,,,,,,http://criticalzone.org/national/data/dataset/4658,4658
30,15mdegc,4658,Biogeochemistry|Soil Science / Pedology|Hydrology,Calhoun,Temperature,temperature,ODM2,,,,,,http://criticalzone.org/national/data/dataset/4658,4658
31,15mh2o,4658,Biogeochemistry|Soil Science / Pedology|Hydrology,Calhoun,Water Content,waterContent,ODM2,,,,,,http://criticalzone.org/national/data/dataset/4658,4658
32,15mo2,4658,Biogeochemistry|Soil Science / Pedology|Hydrology,Calhoun,Oxygen,oxygen,ODM2,,,,,,http://criticalzone.org/national/data/dataset/4658,4658
33,15nson,5933,Biogeochemistry|Biology / Ecology|Soil Science / Pedology,Calhoun,"Nitrogen-15, stable isotope ratio delta",nitrogen_15_StableIsotopeRatioDelta,ODM2,,in soluble organic nitrogen (SON),,,,http://criticalzone.org/national/data/dataset/5933,5933
